表计编号,能源类型,读数日期,原始值,修正值,读数状态,批次号,异常类型,异常状态,备注
M001,电,2026-08-03,2500,1200,异常,BATCH_1781549256692,跳变,已修正,
M002,电,2026-08-03,2800,,异常,BATCH_1781549257004,回退,已忽略,数据异常，手动忽略
M001,电,2026-08-02,1100,,原始,BATCH_1781549256692,,,
M002,电,2026-08-02,3100,,原始,BATCH_1781549257004,,,
M001,电,2026-08-01,1000,,原始,BATCH_1781549256692,,,
M002,电,2026-08-01,3000,,原始,BATCH_1781549257004,,,
W001,水,2026-08-01,500,,原始,BATCH_1781549256692,,,
W002,水,2026-08-01,800,,原始,BATCH_1781549257004,,,
B001,电,2026-07-13,400,,原始,BATCH_1781550520940,,,
B001,电,2026-07-12,300,,原始,BATCH_1781550520940,,,
B001,电,2026-07-11,200,,异常,BATCH_1781550520626,跳变,PENDING,
B001,电,2026-07-10,100,,原始,BATCH_1781550520626,,,
M001,电,2026-07-03,2000,,异常,BATCH_1781550519786,跳变,PENDING,
M001,电,2026-07-02,1100,,原始,BATCH_1781550519786,,,
W001,水,2026-07-02,600,,原始,BATCH_1781550519786,,,
M001,电,2026-07-01,1000,,异常,BATCH_1781550519786,跳变,PENDING,
M001,电,2026-07-01,1000,,异常,BATCH_1781550519786,回退,PENDING,
W001,水,2026-07-01,500,,异常,BATCH_1781550519786,回退,PENDING,
M001,电,2026-06-05,1900,,异常,BATCH_1781549276509,回退,已忽略,测试忽略
M001,电,2026-06-04,2100,,原始,BATCH_1781549276509,,,
W001,水,2026-06-04,800,,原始,BATCH_1781549276509,,,
M001,电,2026-06-03,2000,,异常,BATCH_1781549276398,跳变,PENDING,
W001,水,2026-06-03,700,,原始,BATCH_1781549276509,,,
M001,电,2026-06-02,1100,,原始,BATCH_1781549276398,,,
W001,水,2026-06-02,600,,原始,BATCH_1781549276398,,,
M001,电,2026-06-01,1000,,原始,BATCH_1781549276398,,,
W001,水,2026-06-01,500,,原始,BATCH_1781549276398,,,
